id,id_label,resolved,first_observed,last_observed,observations,min_cust_aff,max_cust_aff,min_start,max_etr,last_cause,longitude,latitude,county,neighborhood

66856,66856,1,2022-08-25T22:14:35Z,2022-08-25T23:24:35Z,7,4,4,2022-08-25T22:09:00Z,2022-08-26T01:30:00Z,Cause Being Investigated,-63.56437,44.97238,Hants,
66857,66857,1,2022-08-25T22:24:29Z,2022-08-25T23:14:35Z,5,4,4,2022-08-25T22:17:00Z,2022-08-26T02:15:00Z,Cause Being Investigated,-62.0639,45.76535,Antigonish,
66838,66838,1,2022-08-25T16:44:35Z,2022-08-25T23:04:35Z,31,28,28,2022-08-25T16:34:25Z,2022-08-25T22:45:00Z,Wildlife Interference,-64.05924,45.65531,Cumberland,
66845,66845,1,2022-08-25T19:54:35Z,2022-08-25T22:44:32Z,14,4,4,2022-08-25T19:46:44Z,2022-08-26T00:30:00Z,Cause Being Investigated,-66.14802,44.44504,Digby,
66825,66825,1,2022-08-25T13:14:35Z,2022-08-25T22:04:35Z,42,4,4,2022-08-25T13:04:00Z,2022-08-25T23:00:00Z,Cause Being Investigated,-63.48356,44.70183,Halifax,Cherry Brook
66847,66847,1,2022-08-25T21:14:36Z,2022-08-25T22:04:35Z,6,42,42,,,,-61.3592,45.61554,Inverness,
66848,66848,1,2022-08-25T21:24:36Z,2022-08-25T22:04:35Z,5,12,12,2022-08-25T21:01:56Z,2022-08-25T23:30:00Z,Emergency Repair of Lines,-61.362,45.61421,Inverness,
66844,66844,1,2022-08-25T18:14:35Z,2022-08-25T21:54:37Z,17,4,4,2022-08-25T17:59:00Z,2022-08-25T23:15:00Z,Cause Being Investigated,-60.21578,46.13908,Cape Breton,
66849,66849,1,2022-08-25T21:44:36Z,2022-08-25T21:54:37Z,2,4,4,2022-08-25T21:33:41Z,2022-08-26T02:15:00Z,Cause Being Investigated,-64.31984,44.47776,Lunenburg,
66850,66850,1,2022-08-25T21:44:36Z,2022-08-25T21:54:37Z,2,4,4,2022-08-25T21:34:13Z,2022-08-26T01:00:00Z,Cause Being Investigated,-64.1399,44.98704,Hants,
66851,66851,1,2022-08-25T21:44:36Z,2022-08-25T21:54:37Z,2,4,4,2022-08-25T21:33:12Z,2022-08-26T02:15:00Z,Cause Being Investigated,-64.33237,44.48493,Lunenburg,
66852,66852,1,2022-08-25T21:44:36Z,2022-08-25T21:54:37Z,2,4,4,2022-08-25T21:36:00Z,2022-08-26T02:15:00Z,Cause Being Investigated,-64.31816,44.47332,Lunenburg,
66846,66846,1,2022-08-25T21:04:35Z,2022-08-25T21:14:36Z,2,11,11,2022-08-25T20:55:46Z,2022-08-26T01:00:00Z,Cause Being Investigated,-61.35917,45.61556,Inverness,
66839,66839,1,2022-08-25T16:54:35Z,2022-08-25T20:04:35Z,16,4,4,2022-08-25T16:39:10Z,2022-08-26T03:00:00Z,Cause Being Investigated,-61.35592,45.61362,Inverness,
66841,66841,1,2022-08-25T17:24:35Z,2022-08-25T19:14:32Z,10,4,4,2022-08-25T17:12:00Z,2022-08-25T22:15:00Z,Cause Being Investigated,-60.91355,46.14709,Victoria,
66842,66842,1,2022-08-25T17:34:35Z,2022-08-25T19:04:31Z,8,4,4,2022-08-25T17:25:00Z,2022-08-25T22:30:00Z,Cause Being Investigated,-61.00533,46.62727,Inverness,
66834,66834,1,2022-08-25T15:04:36Z,2022-08-25T17:44:35Z,13,4,4,2022-08-25T14:51:02Z,2022-08-25T18:45:00Z,Trees On Line,-62.69705,45.56366,Pictou,
66835,66835,1,2022-08-25T15:04:36Z,2022-08-25T17:14:35Z,10,4,4,2022-08-25T14:51:40Z,2022-08-25T18:45:00Z,Cause Being Investigated,-62.71128,45.56293,Pictou,
66837,66837,1,2022-08-25T16:34:36Z,2022-08-25T16:44:35Z,2,4,4,2022-08-25T16:23:37Z,2022-08-25T19:45:00Z,Cause Being Investigated,-63.51792,44.66417,Halifax,Portland Estates
66818,66818,1,2022-08-25T12:34:34Z,2022-08-25T16:04:35Z,18,4,4,2022-08-25T12:24:29Z,2022-08-25T17:00:00Z,Cause Being Investigated,-64.53017,44.30364,Lunenburg,
